subject,trial_number,Cross_position,Circle_1,Position_1,Color_1,Circle_2,Position_2,Color_2,Position_3,Color_3,Position_4,Color_4,p_confidence,response_color,response_time,angle_1,angle_2,angle_3,angle_4,angle_1_cue,angle_2_cue,angle_3_cue,angle_4_cue
1,3,0,-1,152.6869882,7,-1,272.6869882,6,212.6869882,4,332.6869882,4,6,4,55,152.6869882,272.6869882,212.6869882,332.6869882,242.6869882,362.6869882,302.6869882,422.6869882
1,3,0,-1,152.6869882,7,-1,272.6869882,6,212.6869882,4,332.6869882,4,3,1,54,152.6869882,272.6869882,212.6869882,332.6869882,242.6869882,362.6869882,302.6869882,422.6869882
1,3,0,-1,152.6869882,7,-1,272.6869882,6,212.6869882,4,332.6869882,4,7,9,55,152.6869882,272.6869882,212.6869882,332.6869882,242.6869882,362.6869882,302.6869882,422.6869882
1,3,0,-1,152.6869882,7,-1,272.6869882,6,212.6869882,4,332.6869882,4,7,8,66,152.6869882,272.6869882,212.6869882,332.6869882,242.6869882,362.6869882,302.6869882,422.6869882
1,3,0,-1,152.6869882,7,-1,272.6869882,6,212.6869882,4,332.6869882,4,5,2,56,152.6869882,272.6869882,212.6869882,332.6869882,242.6869882,362.6869882,302.6869882,422.6869882
1,3,0,-1,152.6869882,7,-1,272.6869882,6,212.6869882,4,332.6869882,4,0,5,65,152.6869882,272.6869882,212.6869882,332.6869882,242.6869882,362.6869882,302.6869882,422.6869882
1,4,0,-1,94.68891842,3,-1,214.6889184,1,154.6889184,5,274.6889184,5,0,6,62,94.68891842,214.6889184,154.6889184,274.6889184,184.6889184,304.6889184,244.6889184,364.6889184
1,4,0,-1,94.68891842,3,-1,214.6889184,1,154.6889184,5,274.6889184,5,7,4,60,94.68891842,214.6889184,154.6889184,274.6889184,184.6889184,304.6889184,244.6889184,364.6889184
1,4,0,-1,94.68891842,3,-1,214.6889184,1,154.6889184,5,274.6889184,5,0,5,75,94.68891842,214.6889184,154.6889184,274.6889184,184.6889184,304.6889184,244.6889184,364.6889184
1,4,0,-1,94.68891842,3,-1,214.6889184,1,154.6889184,5,274.6889184,5,3,9,34,94.68891842,214.6889184,154.6889184,274.6889184,184.6889184,304.6889184,244.6889184,364.6889184
1,4,0,-1,94.68891842,3,-1,214.6889184,1,154.6889184,5,274.6889184,5,7,3,38,94.68891842,214.6889184,154.6889184,274.6889184,184.6889184,304.6889184,244.6889184,364.6889184
1,4,0,-1,94.68891842,3,-1,214.6889184,1,154.6889184,5,274.6889184,5,1,7,61,94.68891842,214.6889184,154.6889184,274.6889184,184.6889184,304.6889184,244.6889184,364.6889184
1,4,0,-1,94.68891842,3,-1,214.6889184,1,154.6889184,5,274.6889184,5,7,2,48,94.68891842,214.6889184,154.6889184,274.6889184,184.6889184,304.6889184,244.6889184,364.6889184
1,4,0,-1,94.68891842,3,-1,214.6889184,1,154.6889184,5,274.6889184,5,4,1,29,94.68891842,214.6889184,154.6889184,274.6889184,184.6889184,304.6889184,244.6889184,364.6889184
1,4,0,-1,94.68891842,3,-1,214.6889184,1,154.6889184,5,274.6889184,5,2,8,48,94.68891842,214.6889184,154.6889184,274.6889184,184.6889184,304.6889184,244.6889184,364.6889184
1,5,0,-1,-111.8086121,4,-1,8.191387921,2,-51.80861208,8,68.19138792,2,2,9,38,-111.8086121,8.191387921,-51.80861208,68.19138792,-21.80861208,98.19138792,38.19138792,158.1913879
1,5,0,-1,-111.8086121,4,-1,8.191387921,2,-51.80861208,8,68.19138792,2,3,2,69,-111.8086121,8.191387921,-51.80861208,68.19138792,-21.80861208,98.19138792,38.19138792,158.1913879
1,5,0,-1,-111.8086121,4,-1,8.191387921,2,-51.80861208,8,68.19138792,2,1,8,53,-111.8086121,8.191387921,-51.80861208,68.19138792,-21.80861208,98.19138792,38.19138792,158.1913879
1,5,0,-1,-111.8086121,4,-1,8.191387921,2,-51.80861208,8,68.19138792,2,0,4,49,-111.8086121,8.191387921,-51.80861208,68.19138792,-21.80861208,98.19138792,38.19138792,158.1913879
1,5,0,-1,-111.8086121,4,-1,8.191387921,2,-51.80861208,8,68.19138792,2,2,7,43,-111.8086121,8.191387921,-51.80861208,68.19138792,-21.80861208,98.19138792,38.19138792,158.1913879
1,5,0,-1,-111.8086121,4,-1,8.191387921,2,-51.80861208,8,68.19138792,2,5,1,54,-111.8086121,8.191387921,-51.80861208,68.19138792,-21.80861208,98.19138792,38.19138792,158.1913879
1,5,0,-1,-111.8086121,4,-1,8.191387921,2,-51.80861208,8,68.19138792,2,7,6,53,-111.8086121,8.191387921,-51.80861208,68.19138792,-21.80861208,98.19138792,38.19138792,158.1913879
1,5,0,-1,-111.8086121,4,-1,8.191387921,2,-51.80861208,8,68.19138792,2,3,3,50,-111.8086121,8.191387921,-51.80861208,68.19138792,-21.80861208,98.19138792,38.19138792,158.1913879
1,5,0,-1,-111.8086121,4,-1,8.191387921,2,-51.80861208,8,68.19138792,2,0,5,44,-111.8086121,8.191387921,-51.80861208,68.19138792,-21.80861208,98.19138792,38.19138792,158.1913879
1,6,0,-1,79.06894137,2,-1,199.0689414,7,139.0689414,2,259.0689414,7,7,3,68,79.06894137,199.0689414,139.0689414,259.0689414,169.0689414,289.0689414,229.0689414,349.0689414
1,6,0,-1,79.06894137,2,-1,199.0689414,7,139.0689414,2,259.0689414,7,3,4,60,79.06894137,199.0689414,139.0689414,259.0689414,169.0689414,289.0689414,229.0689414,349.0689414
1,6,0,-1,79.06894137,2,-1,199.0689414,7,139.0689414,2,259.0689414,7,7,7,57,79.06894137,199.0689414,139.0689414,259.0689414,169.0689414,289.0689414,229.0689414,349.0689414
1,6,0,-1,79.06894137,2,-1,199.0689414,7,139.0689414,2,259.0689414,7,3,5,40,79.06894137,199.0689414,139.0689414,259.0689414,169.0689414,289.0689414,229.0689414,349.0689414
1,6,0,-1,79.06894137,2,-1,199.0689414,7,139.0689414,2,259.0689414,7,2,1,50,79.06894137,199.0689414,139.0689414,259.0689414,169.0689414,289.0689414,229.0689414,349.0689414
1,6,0,-1,79.06894137,2,-1,199.0689414,7,139.0689414,2,259.0689414,7,1,9,64,79.06894137,199.0689414,139.0689414,259.0689414,169.0689414,289.0689414,229.0689414,349.0689414
1,6,0,-1,79.06894137,2,-1,199.0689414,7,139.0689414,2,259.0689414,7,5,6,48,79.06894137,199.0689414,139.0689414,259.0689414,169.0689414,289.0689414,229.0689414,349.0689414
1,6,0,-1,79.06894137,2,-1,199.0689414,7,139.0689414,2,259.0689414,7,4,2,40,79.06894137,199.0689414,139.0689414,259.0689414,169.0689414,289.0689414,229.0689414,349.0689414
1,6,0,-1,79.06894137,2,-1,199.0689414,7,139.0689414,2,259.0689414,7,0,8,36,79.06894137,199.0689414,139.0689414,259.0689414,169.0689414,289.0689414,229.0689414,349.0689414
1,7,0,-1,-141.2510282,8,-1,-21.25102816,5,-81.25102816,5,38.74897184,5,6,1,59,-141.2510282,-21.25102816,-81.25102816,38.74897184,-51.25102816,68.74897184,8.748971838,128.7489718
1,7,0,-1,-141.2510282,8,-1,-21.25102816,5,-81.25102816,5,38.74897184,5,4,8,33,-141.2510282,-21.25102816,-81.25102816,38.74897184,-51.25102816,68.74897184,8.748971838,128.7489718
